ell,TT,EE,BB,TE
2016,218.91437329751008,7.289035458788173,0.04736153215396969,-16.692291546248278
2017,218.88147058372112,7.239181005105888,0.047322829891313485,-16.6301219135629
2018,218.84329870745756,7.189508538952495,0.047284169217081805,-16.56564372671902
2019,218.8014363826379,7.14008327294886,0.04724554701437442,-16.49891880612458
2020,218.75448977922608,7.090821906107643,0.047206960177876414,-16.430008531539393
2021,218.70329234731992,7.041864044127092,0.04716840561508382,-16.358825281809942
2022,218.64793345666925,6.99308193102947,0.04712988024750413,-16.285503859292866
2023,218.58701554196657,6.944593008055878,0.04709138101188694,-16.210104362923268
2024,218.52136825897244,6.896373642152555,0.04705290486145593,-16.132537911953904
2025,218.4510771260912,6.8484299806967135,0.047014448767109945,-16.052863787366245
2026,218.3747406716834,6.8007830974358265,0.04697600971869588,-15.971215155924106
2027,218.2931845921767,6.753439281695178,0.04693758472618902,-15.887501943870632
2028,218.20649039558708,6.706412326004696,0.04689917082099324,-15.80178226229414
2029,218.11399538576003,6.659708671941216,0.04686076505711436,-15.714113848118284
2030,218.01577831726635,6.6133496976872825,0.046822364512424296,-15.62455407223441
2031,217.9126593808384,6.567349435452719,0.04678396628990827,-15.533085664263746
2032,217.8032288492797,6.521707145559846,0.046745567518845496,-15.439839571457027
2033,217.68756123915827,6.476451888942216,0.046707165356082846,-15.344797833199156
2034,217.56647246289353,6.4315905310508485,0.04666875698721073,-15.24801644014861
2035,217.43929131131932,6.387137457572573,0.04663033962778813,-15.149476775976492
2036,217.30608794691184,6.3430922916548145,0.046591910524542285,-15.049308476724915
2037,217.16618822238937,6.299462181188827,0.046553466956545345,-14.947418022246707
2038,217.02040217492325,6.2562692293480655,0.046515006236387775,-14.84400872977112
2039,216.86805267564543,6.2135133549795,0.0464765257113416,-14.738986495022292
2040,216.70920392479155,6.171209436450596,0.046438022764482376,-14.632479785960038
2041,216.54317577216895,6.129357600295973,0.046399494815821875,-14.524468234569632
2042,216.3707722131902,6.0879729366167865,0.04636093932340355,-14.415005496744948
2043,216.19205287518696,6.047070644328139,0.046322353784363765,-14.304144978229203
2044,216.00633300922624,6.006658604705046,0.04628373573600333,-14.191939844119954
2045,215.81441198741933,5.966744811576172,0.04624508275677855,-14.078443028430144
2046,215.61560195547233,5.92733737311335,0.04620639246731803,-13.963632960196914
2047,215.4092134958,5.8884445135661405,0.04616766253138112,-13.847710707147325
2048,215.1967841260776,5.850089431640955,0.04612889065676333,-13.730654284377772
2049,214.97762128298015,5.812265732021142,0.04609007459621691,-13.612515798091584
2050,214.75177365659007,5.774989425382494,0.046051212148295946,-13.493272888348875
2051,214.5185429858236,5.738254471748512,0.04601230115817719,-13.373050768955428
2052,214.27870497091203,5.702070259542418,0.04597333951844269,-13.251822642059892
2053,214.03154551663567,5.66645384276682,0.045934325169805536,-13.129635019651136
2054,213.77709176267672,5.631400116975182,0.04589525610183473,-13.0066085537633
2055,213.51536924507613,5.596918962285847,0.045856130353572576,-12.882640912276017
2056,213.24714472820503,5.563012959531911,0.0458169460141957,-12.757926773237616
2057,212.97095486208883,5.52969967645023,0.04577770122352829,-12.632363566641532
2058,212.68830602549755,5.496974527005444,0.04573839417259668,-12.506145752228607
2059,212.39773164416815,5.464840485803177,0.045699023104071125,-12.3792448447333
2060,212.10073486995003,5.433315517388987,0.045659586312770326,-12.251632274132117
2061,211.79584590008943,5.402395435382505,0.04562008214593571,-12.12350224586464
2062,211.4845646574721,5.372091045050262,0.04558050900367493,-11.994751765998837
2063,211.1654181110399,5.342398430662907,0.04554086533916389,-11.865574918898732
2064,210.8391601221757,5.313336097941084,0.04550114965892731,-11.735942892316464
2065,210.50654294145056,5.284892976235017,0.04546136052305957,-11.6058268374675
2066,210.16608870599904,5.2570804175445485,0.045421496545363226,-11.475420729060929
2067,209.81854645276752,5.229902483623656,0.045381556393450775,-11.344621390257212
2068,209.4646636172027,5.203355946423537,0.045341538788834526,-11.213622770112888
2069,209.10295753262147,5.177445145174241,0.04530144250693999,-11.082321684932268
2070,208.73491528052847,5.1521819867043055,0.04526126637710192,-10.95083781210162
2071,208.35979385129693,5.127556232298433,0.045221009282521415,-10.819216565338472
2072,207.97684865582596,5.103572639647052,0.04518067016021253,-10.687503387394411
2073,207.5875620379379,5.0802286779342305,0.04514024800081759,-10.555743759194497
2074,207.19118627230137,5.057536812967944,0.045099741848520974,-10.423908925411911
2075,206.78845774838996,5.035494793800347,0.04505915080083591,-10.292118753989124
2076,206.3778828049596,5.014093081041644,0.045018474008430495,-10.160344611076676
