ell,PP,PT,PE
1.660000000000000000e+02,6.566604191032485415e-08,1.849587319159499261e-04,-8.185392843960361501e-07
1.670000000000000000e+02,6.530475971064919529e-08,1.834580471368181076e-04,-8.055050094205934871e-07
1.680000000000000000e+02,6.494654022901856278e-08,1.819716038609183915e-04,-7.923667902188949624e-07
1.690000000000000000e+02,6.459137241096226607e-08,1.804991458713829059e-04,-7.791321987254279162e-07
1.700000000000000000e+02,6.423919948415528864e-08,1.790403106003335323e-04,-7.658083461358004864e-07
1.710000000000000000e+02,6.389001051953071040e-08,1.775948642381110286e-04,-7.524029003842810857e-07
1.720000000000000000e+02,6.354378679504494458e-08,1.761625717137786933e-04,-7.389235149675499501e-07
1.730000000000000000e+02,6.320047965878039151e-08,1.747430934655120130e-04,-7.253774001727686148e-07
1.740000000000000000e+02,6.286007799753047556e-08,1.733361534909516740e-04,-7.117720360602833356e-07
1.750000000000000000e+02,6.252256303143416005e-08,1.719415165221249567e-04,-6.981150660505845455e-07
1.760000000000000000e+02,6.218789385518093739e-08,1.705589065375040427e-04,-6.844131310494214617e-07
1.770000000000000000e+02,6.185602989338531068e-08,1.691881120097301250e-04,-6.706698167396307350e-07
1.780000000000000000e+02,6.152697441211746549e-08,1.678290428958328906e-04,-6.568883639969379188e-07
1.790000000000000000e+02,6.120068679410386253e-08,1.664815088998573204e-04,-6.430716133674803491e-07
1.800000000000000000e+02,6.087712674505298975e-08,1.651453601058309561e-04,-6.292225665209367600e-07
1.810000000000000000e+02,6.055629712578772302e-08,1.638204660249787932e-04,-6.153442972199114844e-07
1.820000000000000000e+02,6.023814339593394658e-08,1.625066379678137280e-04,-6.014396586894502440e-07
1.830000000000000000e+02,5.992265401972702894e-08,1.612037647777697126e-04,-5.875117945232180690e-07
1.840000000000000000e+02,5.960981015344949596e-08,1.599116963149249031e-04,-5.735636989058505211e-07
1.850000000000000000e+02,5.929957184566790123e-08,1.586302637451042247e-04,-5.595982992355488300e-07
1.860000000000000000e+02,5.899190640771185089e-08,1.573592988948497706e-04,-5.456185289151529171e-07
1.870000000000000000e+02,5.868680899502666261e-08,1.560986711588242045e-04,-5.316274531249771457e-07
1.880000000000000000e+02,5.838422614681849165e-08,1.548482310771771874e-04,-5.176280686680242763e-07
