ell,TT,EE,BB,TE
7.800000000000000000e+01,1.791825953500478363e+03,3.914949744148736310e-01,1.838280266241031037e-03,-5.556246377567251926e+00
7.900000000000000000e+01,1.809173112565377778e+03,4.044299169742960887e-01,1.885976886174693234e-03,-5.994611238220670657e+00
8.000000000000000000e+01,1.826771644578915129e+03,4.174776917200326842e-01,1.934306044325756393e-03,-6.442267251992983113e+00
8.100000000000000000e+01,1.844660619965840624e+03,4.306288182370606177e-01,1.983270378680995066e-03,-6.899227600834779039e+00
8.200000000000000000e+01,1.862854074842835871e+03,4.438729151690611885e-01,2.032872631961122559e-03,-7.365175286603812488e+00
8.300000000000000000e+01,1.881328215799463123e+03,4.571975198245339933e-01,2.083115645629258789e-03,-7.839896483218647738e+00
8.400000000000000000e+01,1.900081533968658960e+03,4.705909137081272786e-01,2.134002353384907135e-03,-8.322880242793381456e+00
8.500000000000000000e+01,1.919105091787837409e+03,4.840406369163812172e-01,2.185535774417861603e-03,-8.813987048814196257e+00
8.600000000000000000e+01,1.938394799257181830e+03,4.975367279913154306e-01,2.237719007105234796e-03,-9.312666511549835491e+00
8.700000000000000000e+01,1.957921387236496230e+03,5.110673294862665417e-01,2.290555222304968813e-03,-9.818433224067604215e+00
8.800000000000000000e+01,1.977667862818176445e+03,5.246215968558575193e-01,2.344047657346878030e-03,-1.033076232705368724e+01
8.900000000000000000e+01,1.997646946786776653e+03,5.381886872324439519e-01,2.398199610358614075e-03,-1.084920326520506606e+01
9.000000000000000000e+01,2.017863932017116440e+03,5.517533024761560601e-01,2.453014433686232214e-03,-1.137345407240497863e+01
9.100000000000000000e+01,2.038330699513400759e+03,5.653039677720947953e-01,2.508495529404254284e-03,-1.190299933040120983e+01
9.200000000000000000e+01,2.059048339431160912e+03,5.788274110726124855e-01,2.564646343149739379e-03,-1.243765827854523742e+01
9.300000000000000000e+01,2.080031958667362233e+03,5.923104695896027616e-01,2.621470360780682549e-03,-1.297696242392467880e+01
9.400000000000000000e+01,2.101274380030220527e+03,6.057422109966088541e-01,2.678971103911072064e-03,-1.352074043656711844e+01
9.500000000000000000e+01,2.122790712446844736e+03,6.191087336333439550e-01,2.737152126222588445e-03,-1.406852388312273661e+01
9.600000000000000000e+01,2.144573780956415703e+03,6.323976235626614928e-01,2.796017010831824620e-03,-1.461991864608557812e+01
