ell,PP,PT,PE
8.800000000000000000e+01,1.043332366110797911e-07,4.057576584526984779e-04,-1.317510947872909265e-06
8.900000000000000000e+01,1.037003820800839656e-07,4.005368278086233547e-04,-1.293465932501922146e-06
9.000000000000000000e+01,1.030701412893280362e-07,3.954312932647916987e-04,-1.271920950649991513e-06
9.100000000000000000e+01,1.024426624182448360e-07,3.904355376011032944e-04,-1.254062567366763826e-06
9.200000000000000000e+01,1.018180233050947921e-07,3.855459096885285484e-04,-1.239911929171575364e-06
9.300000000000000000e+01,1.011962665300306819e-07,3.807594236335391552e-04,-1.229199770759764660e-06
9.400000000000000000e+01,1.005774704394294687e-07,3.760730515504399039e-04,-1.221656944908437728e-06
9.500000000000000000e+01,9.996164308085487403e-08,3.714835954358432983e-04,-1.217013989987724889e-06
9.600000000000000000e+01,9.934887508502078149e-08,3.669880420553484654e-04,-1.215002264714882858e-06
9.700000000000000000e+01,9.873921040193494999e-08,3.625834245221805732e-04,-1.215353500004938551e-06
9.800000000000000000e+01,9.813269353190586094e-08,3.582666514439258637e-04,-1.217799219508797906e-06
9.900000000000000000e+01,9.752938091831516512e-08,3.540346389956545449e-04,-1.222071155315601291e-06
1.000000000000000000e+02,9.692934060577454784e-08,3.498844339052484959e-04,-1.227901667517283804e-06
1.010000000000000000e+02,9.633261812363767741e-08,3.458130029979859105e-04,-1.235023019933977064e-06
1.020000000000000000e+02,9.573924835372804690e-08,3.418171976735556489e-04,-1.243167217340675378e-06
1.030000000000000000e+02,9.514934486607782565e-08,3.378942369660956589e-04,-1.252067745444760100e-06
1.040000000000000000e+02,9.456292063804573780e-08,3.340409019431282776e-04,-1.261456646322916677e-06
1.050000000000000000e+02,9.398004494966573175e-08,3.302543364650943245e-04,-1.271067437267044427e-06
1.060000000000000000e+02,9.340077616087758817e-08,3.265314514804377468e-04,-1.280632896211586259e-06
1.070000000000000000e+02,9.282517290308927101e-08,3.228692415714998795e-04,-1.289886233906006410e-06
1.080000000000000000e+02,9.225330487467583101e-08,3.192648180224961336e-04,-1.298561251502020428e-06
1.090000000000000000e+02,9.168525251633163516e-08,3.157151797504877642e-04,-1.306391427372222728e-06
1.100000000000000000e+02,9.112103201874815720e-08,3.122172928909318270e-04,-1.313110204933691547e-06
1.110000000000000000e+02,9.056073398386006579e-08,3.087686695306132516e-04,-1.318506436091252138e-06
1.120000000000000000e+02,9.000433817650407540e-08,3.053689136658207701e-04,-1.322589908985521852e-06
1.130000000000000000e+02,8.945184489358569518e-08,3.020180615688311770e-04,-1.325425208929992213e-06
1.140000000000000000e+02,8.890325448654580357e-08,2.987162219257666947e-04,-1.327077185449697311e-06
1.150000000000000000e+02,8.835855700920544656e-08,2.954633633901531872e-04,-1.327610018512489159e-06
1.160000000000000000e+02,8.781776339863227337e-08,2.922595972594386375e-04,-1.327088468944086044e-06
1.170000000000000000e+02,8.728084348249537650e-08,2.891049998238417627e-04,-1.325577100069866246e-06
1.180000000000000000e+02,8.674777804394120296e-08,2.859995469044017001e-04,-1.323139967688617577e-06
1.190000000000000000e+02,8.621860904377495099e-08,2.829433856682924049e-04,-1.319841869932015123e-06
1.200000000000000000e+02,8.569329714477887208e-08,2.799365620317635747e-04,-1.315747100455134865e-06
1.210000000000000000e+02,8.517184396946456136e-08,2.769791237885252258e-04,-1.310919919119317679e-06
1.220000000000000000e+02,8.465427104019168876e-08,2.740712173774550379e-04,-1.305425015166281706e-06
1.230000000000000000e+02,8.414054023621189051e-08,2.712128272997282939e-04,-1.299326274346631517e-06
1.240000000000000000e+02,8.363068309680900137e-08,2.684040373323907870e-04,-1.292688015912064500e-06
1.250000000000000000e+02,8.312467198750918848e-08,2.656449942376628952e-04,-1.285574831734490106e-06
1.260000000000000000e+02,8.262249940254755811e-08,2.629356568033774759e-04,-1.278050374091211756e-06
1.270000000000000000e+02,8.212419665490789951e-08,2.602762039111972125e-04,-1.270179328623365116e-06
1.280000000000000000e+02,8.162973692772334955e-08,2.576666593267026460e-04,-1.262025599280938755e-06
1.290000000000000000e+02,8.113912269883442367e-08,2.551071097728074030e-04,-1.253653366781321601e-06
1.300000000000000000e+02,8.065235648320938102e-08,2.525976423491199338e-04,-1.245126786652932086e-06
1.310000000000000000e+02,8.016942771688001711e-08,2.501380429175449074e-04,-1.236498829414372358e-06
1.320000000000000000e+02,7.969032064086748733e-08,2.477270396907640167e-04,-1.227778538566478473e-06
1.330000000000000000e+02,7.921501583683235422e-08,2.453631185214580172e-04,-1.218964084301373736e-06
1.340000000000000000e+02,7.874350317957206076e-08,2.430447077558397606e-04,-1.210053347272257066e-06
1.350000000000000000e+02,7.827572640024304327e-08,2.407702093089582546e-04,-1.201044070551992532e-06
1.360000000000000000e+02,7.781169411964272612e-08,2.385381405242634754e-04,-1.191934567723928041e-06
1.370000000000000000e+02,7.735136891854071317e-08,2.363469617220668279e-04,-1.182722864833926865e-06
1.380000000000000000e+02,7.689472287809630438e-08,2.341950511728396506e-04,-1.173406572618852412e-06
1.390000000000000000e+02,7.644176425854396408e-08,2.320809824883333797e-04,-1.163984275725381461e-06
1.400000000000000000e+02,7.599244714748143610e-08,2.300031090614837210e-04,-1.154453451700314707e-06
1.410000000000000000e+02,7.554675293162477291e-08,2.279599233201305480e-04,-1.144812270947015520e-06
1.420000000000000000e+02,7.510466303304458662e-08,2.259498907543479958e-04,-1.135058765371840444e-06
1.430000000000000000e+02,7.466615890894462927e-08,2.239715039396418343e-04,-1.125191099475906145e-06
1.440000000000000000e+02,7.423121332402528382e-08,2.220231504115862471e-04,-1.115206906642125504e-06
1.450000000000000000e+02,7.379980795477537976e-08,2.201033508988750099e-04,-1.105104486111041344e-06
1.460000000000000000e+02,7.337194176583241290e-08,2.182105476917791493e-04,-1.094881739942013110e-06
1.470000000000000000e+02,7.294756188739981923e-08,2.163432356129212618e-04,-1.084536830772855663e-06
1.480000000000000000e+02,7.252668450710433521e-08,2.144998585619596393e-04,-1.074067662673208258e-06
1.490000000000000000e+02,7.210924872935661900e-08,2.126788618595339619e-04,-1.063472144413450150e-06
1.500000000000000000e+02,7.169527055863890936e-08,2.108787668752047054e-04,-1.052748562356433871e-06
1.510000000000000000e+02,7.128471374693260250e-08,2.090982023238111161e-04,-1.041895383750736537e-06
1.520000000000000000e+02,7.087753766742205505e-08,2.073366523697460820e-04,-1.030913939599376190e-06
1.530000000000000000e+02,7.047375065502233665e-08,2.055939064947545939e-04,-1.019806729666101115e-06
1.540000000000000000e+02,7.007328611438559241e-08,2.038695834272790048e-04,-1.008575403307601070e-06
1.550000000000000000e+02,6.967615220509052928e-08,2.021634962272114168e-04,-9.972225717571921737e-07
1.560000000000000000e+02,6.928230745389843357e-08,2.004752892275600410e-04,-9.857500089850913487e-07
1.570000000000000000e+02,6.889172699990050811e-08,1.988047031900850887e-04,-9.741599641068673522e-07
1.580000000000000000e+02,6.850436988160863795e-08,1.971514083995066331e-04,-9.624543387458830839e-07
1.590000000000000000e+02,6.812025165693453516e-08,1.955152153605365609e-04,-9.506357181213599419e-07
1.600000000000000000e+02,6.773929929517663017e-08,1.938957255722487398e-04,-9.387056663406508377e-07
1.610000000000000000e+02,6.736150430178065227e-08,1.922927261523950718e-04,-9.266666501655368100e-07
1.620000000000000000e+02,6.698685785407548388e-08,1.907059345203838182e-04,-9.145207943502782274e-07
1.630000000000000000e+02,6.661530374046581831e-08,1.891350012154961800e-04,-9.022699028876675602e-07
1.640000000000000000e+02,6.624683327316211743e-08,1.875797120561651982e-04,-8.899164269368831546e-07
1.650000000000000000e+02,6.588142192541234494e-08,1.860397409101549908e-04,-8.774622810041683942e-07
1.660000000000000000e+02,6.551904519385836305e-08,1.845148504069841328e-04,-8.649097991551246007e-07
1.670000000000000000e+02,6.515967092287905982e-08,1.830046937642189364e-04,-8.522607992612164604e-07
1.680000000000000000e+02,6.480327477957870027e-08,1.815090336665808890e-04,-8.395176122059533174e-07
1.690000000000000000e+02,6.444984763758914751e-08,1.800276102349939952e-04,-8.266824583711082796e-07
1.700000000000000000e+02,6.409933475216180719e-08,1.785600575208016506e-04,-8.137570704101503613e-07
