ell,TT_locked,EE_locked,BB_locked,TE_locked,TT_control,EE_control,BB_control,TE_control
110.0,2476.2406289946134,0.8030996650523123,0.0036939997122643954,-22.470608859128046,2870.374059002197,0.8721074621705086,0.00356874722263148,-28.276737199921207
111.0,2501.6253278264035,0.813696532751511,0.003763570922308496,-23.02125527625824,2901.7735897427574,0.8840174861767818,0.003635467660238328,-28.88494290927906
112.0,2527.207298663914,0.8240234175498784,0.0038338873575771855,-23.56772695275055,2933.3072921457,0.8956499782175528,0.003702890839573739,-29.48798826968492
113.0,2552.979968422562,0.8340597972972491,0.003904953237886556,-24.10970455742922,2964.968178235963,0.9069832206444701,0.0037710208420065174,-30.085528785083287
114.0,2578.936764739921,0.8437925805425598,0.003976772854293537,-24.64657168766728,2996.7492607997324,0.9180029265915088,0.003839861831148029,-30.67692289006385
115.0,2605.0711158622894,0.8532235348635857,0.004049350573713356,-25.177860571876423,3028.6435533055187,0.9287096683077438,0.003909418057553652,-31.26167765250773
116.0,2631.3838788788694,0.862339573440624,0.0041226908436893155,-25.703103503929327,3060.651498173117,0.939089163734229,0.003979693863576437,-31.839300208169806
117.0,2657.86848290392,0.8711201833776746,0.004196798196134371,-26.22175856103211,3092.7661099904785,0.9491197048285325,0.004050693687209086,-32.409223478713585
118.0,2684.5109289594902,0.8795671390688723,0.004271677251647745,-26.733283888544833,3124.972975430772,0.958801870934708,0.004122422066492998,-32.97088045669545
119.0,2711.3120749103664,0.8876673604087902,0.004347332722678347,-27.237286268242634,3157.2725382209587,0.9681213869972982,0.00419488364279253,-33.52385277398979
120.0,2738.2653503003207,0.8954151977996853,0.004423769416584183,-27.733223985495528,3189.657814010638,0.9770714085724684,0.004268083163967515,-34.067573569131774
121.0,2765.3641845935185,0.9027975754032871,0.004500992237638368,-28.22055539739203,3222.121818644728,0.985637665083866,0.0043420254864965134,-34.601476055601886
122.0,2792.5945787208675,0.9098088477888776,0.0045790061883861964,-28.698887500787087,3254.6501397394627,0.9938133164749469,0.004416715576960103,-35.125142090031495
123.0,2819.95739003408,0.9164433715255157,0.004657816370661504,-29.16767879925516,3287.2432216641782,1.001591524805626,0.0044921585131869135,-35.638005039309114
124.0,2847.446047166125,0.922688076770062,0.004737427985286451,-29.626387870973783,3319.8940804273284,1.0089580258448985,0.004568359484092679,-36.13949834861173
125.0,2875.0465499514594,0.9285447522513568,0.004817846331035998,-30.074621936518906,3352.588303619837,1.0159134140597827,0.004645323788784881,-36.629204109341295
126.0,2902.7597544070663,0.9340003317979173,0.004899076802705802,-30.51191400905548,3385.3263354166193,1.0224434291479383,0.0047230568347737525,-37.10663020944882
127.0,2930.571659272764,0.9390566076630816,0.004981124888068624,-30.937722894939768,3418.0937631345087,1.0285486693678771,0.004801564135074442,-37.57121033416171
128.0,2958.4756910151286,0.943700517043353,0.005063996163948648,-31.351656044730028,3450.8836022507617,1.034214878062502,0.004880851304434422,-38.02252681710998
129.0,2986.4727037932767,0.9479338553943496,0.005147696290995548,-31.753246703080038,3483.6962963802384,1.0394426569803683,0.0049609240542543885,-38.460087790324906
130.0,3014.548694387125,0.9517435629401056,0.005232231007431216,-32.14195390903528,3516.517432211749,1.044217752790394,0.005041788186487812,-38.883327184629415
131.0,3042.6896967967814,0.9551313877322526,0.005317606122937908,-32.51738419575639,3549.332671826649,1.0485407243805709,0.005123449587667994,-39.29182718997178
132.0,3070.904181018532,0.9580988781136227,0.005403827508378043,-32.87906528717204,3582.150264619624,1.0524119480292091,0.005205914218779383,-39.68509423373237
133.0,3099.170940895945,0.9606326766519987,0.005490901087702734,-33.226598117872165,3614.948822003911,1.0558168986421583,0.005289188107302583,-40.062708719090296
134.0,3127.4910547011928,0.9627491403802912,0.005578832827304519,-33.559435133430405,3647.7292402722833,1.0587707657645367,0.0053732773366989535,-40.42410256486183
135.0,3155.850743433945,0.9644274855324042,0.005667628724220047,-33.8773259911628,3680.477558886673,1.0612515983221622,0.005458188034731531,-40.769004906289595
136.0,3184.251084286804,0.9656766425786307,0.005757294793995911,-34.17964900823572,3713.1946739309033,1.0632671596624552,0.005543926361453448,-41.0967735431672
137.0,3212.6782973227278,0.9664906860038952,0.005847837056774276,-34.466005429202646,3745.8666247720994,1.064810357338127,0.005630498495388653,-41.406989207378864
